MonNode,TimeSlot,UNITT,UNITS,COUNTER,FltMet1,FltMet2,Rat1,Rat2,Method,Year(4 digit),Year(2 digit),Month,Day of the Year,Day of the Month,Day of the Week,Time Hour,Time Minute,Time Seconds
\IRFORE,2020-07-01 00:00:00,0,16,96949714,47,12,149.22,584.43,LIN_CNT2,2020,20,7,182,1,3,0,0,0
\IRFORE,2020-07-02 00:00:00,0,16,106523721,48,12,160.54,642.14,LIN_CNT2,2020,20,7,183,2,4,0,0,0
\IRFORE,2020-07-03 00:00:00,0,16,111240373,49,13,164.22,618.99,LIN_CNT2,2020,20,7,184,3,5,0,0,0
\IRFORE,2020-07-04 00:00:00,0,16,114589697,49,11,169.17,753.56,LIN_CNT2,2020,20,7,185,4,6,0,0,0
\IRFORE,2020-07-05 00:00:00,0,16,69584153,43,9,117.06,559.29,LIN_CNT2,2020,20,7,186,5,7,0,0,0
\IRFORE,2020-07-06 00:00:00,0,16,96218809,45,10,154.67,696.03,LIN_CNT2,2020,20,7,187,6,1,0,0,0
\IRFORE,2020-07-07 00:00:00,0,16,89924496,45,11,144.55,591.36,LIN_CNT2,2020,20,7,188,7,2,0,0,0
\IRFORE,2020-07-08 00:00:00,0,16,92275288,45,11,148.33,606.82,LIN_CNT2,2020,20,7,189,8,3,0,0,0
\IRFORE,2020-07-09 00:00:00,0,16,93732420,45,11,150.68,616.40,LIN_CNT2,2020,20,7,190,9,4,0,0,0
\IRFORE,2020-07-10 00:00:00,0,16,99337512,47,12,152.89,598.82,LIN_CNT2,2020,20,7,191,10,5,0,0,0
\IRFORE,2020-07-11 00:00:00,0,16,104765516,49,12,154.66,631.54,LIN_CNT2,2020,20,7,192,11,6,0,0,0
\IRFORE,2020-07-12 00:00:00,0,16,72095527,45,10,115.89,521.52,LIN_CNT2,2020,20,7,193,12,7,0,0,0
\IRFORE,2020-07-13 00:00:00,0,16,98969751,43,11,166.49,650.84,LIN_CNT2,2020,20,7,194,13,1,0,0,0
\IRFORE,2020-07-14 00:00:00,0,16,88663008,45,10,142.53,641.37,LIN_CNT2,2020,20,7,195,14,2,0,0,0
\IRFORE,2020-07-15 00:00:00,0,16,93627315,44,11,153.93,615.71,LIN_CNT2,2020,20,7,196,15,3,0,0,0
\IRFORE,2020-07-16 00:00:00,0,16,93925373,44,11,154.42,617.67,LIN_CNT2,2020,20,7,197,16,4,0,0,0
